Year,Month,State,District,City,Facility_Category,Facility_Type,Facility_Name,Medicine_Name,Opening_Stock,Received,Consumption,Expired,Wasted,Lost,Closing_Stock,Nearing_Expiry,Reorder_Level
2024,February,Maharashtra,Mumbai,Pune,State,Clinic,Sahyadri Hospital,Azithromycin,811,64,383,81,58,37,316,47,462
2024,March,Maharashtra,Nagpur,Nagpur,PPP,Hospital,Sahyadri Hospital,Azithromycin,292,307,243,30,53,39,234,36,365
2024,April,Tamil Nadu,Chennai,Chennai,Central,Clinic,Sahyadri Hospital,Azithromycin,1128,473,357,86,89,84,985,28,402
2024,May,Gujarat,Mumbai,Pune,State,Lab,Sahyadri Hospital,Azithromycin,1318,259,73,51,75,10,1368,11,356
2024,June,Maharashtra,Bangalore,Mumbai,PPP,Lab,Sahyadri Hospital,Azithromycin,637,336,183,19,57,56,658,20,190
2024,July,Maharashtra,Kochi,Bangalore,State,Clinic,Sahyadri Hospital,Azithromycin,1886,142,268,87,72,88,1513,36,287
2024,August,Karnataka,Kochi,Mysore,State,Hospital,Sahyadri Hospital,Azithromycin,429,326,317,59,51,79,249,42,491
2024,September,Kerala,Mumbai,Chennai,PPP,Clinic,Sahyadri Hospital,Azithromycin,1130,362,124,74,91,82,1121,42,316
2024,October,Kerala,Mumbai,Nagpur,State,Clinic,Sahyadri Hospital,Azithromycin,1546,419,282,22,99,13,1549,30,406
2024,November,Tamil Nadu,Mumbai,Kochi,Central,Health Center,Sahyadri Hospital,Azithromycin,1324,457,494,37,28,16,1206,16,230
2024,December,Maharashtra,Nagpur,Mysore,State,Lab,Sahyadri Hospital,Azithromycin,197,488,206,99,89,94,197,20,468
2024,January,Karnataka,Mysore,Kochi,State,Lab,Sahyadri Hospital,Ciprofloxacin,1289,428,454,15,12,13,1223,5,356
2024,February,Gujarat,Bangalore,Pune,PPP,Lab,Sahyadri Hospital,Ciprofloxacin,1684,383,411,84,64,33,1475,39,234
2024,March,Gujarat,Mumbai,Mysore,PPP,Lab,Sahyadri Hospital,Ciprofloxacin,403,425,183,25,28,19,573,25,475
2024,April,Kerala,Nagpur,Ahmedabad,State,Health Center,Sahyadri Hospital,Ciprofloxacin,651,382,330,94,75,25,509,47,356
2024,May,Kerala,Mysore,Nagpur,State,Hospital,Sahyadri Hospital,Ciprofloxacin,1083,249,397,94,58,84,0,48,473
2024,June,Karnataka,Pune,Mumbai,State,Lab,Sahyadri Hospital,Ciprofloxacin,1153,295,393,55,67,84,849,48,225
2024,July,Tamil Nadu,Ahmedabad,Kochi,PPP,Clinic,Sahyadri Hospital,Ciprofloxacin,1534,82,393,85,33,25,1080,32,155
2024,August,Karnataka,Pune,Kochi,PPP,Health Center,Sahyadri Hospital,Ciprofloxacin,1615,352,291,22,99,24,1531,31,394
2024,September,Maharashtra,Nagpur,Mysore,PPP,Lab,Sahyadri Hospital,Ciprofloxacin,1340,227,279,76,76,70,1066,8,381
2024,October,Tamil Nadu,Mysore,Mumbai,PPP,Health Center,Sahyadri Hospital,Ciprofloxacin,453,126,289,24,39,64,163,45,372
2024,November,Gujarat,Ahmedabad,Pune,PPP,Clinic,Sahyadri Hospital,Ciprofloxacin,496,441,204,81,57,88,507,41,216
2024,December,Kerala,Mysore,Chennai,State,Health Center,Sahyadri Hospital,Ciprofloxacin,468,110,392,50,20,83,33,15,169
2024,January,Kerala,Mysore,Ahmedabad,Central,Lab,Sahyadri Hospital,Doxycycline,1052,118,242,58,83,26,761,23,449
2024,February,Kerala,Pune,Kochi,Central,Hospital,Sahyadri Hospital,Doxycycline,227,361,241,91,54,57,145,21,278
2024,March,Karnataka,Kochi,Chennai,PPP,Health Center,Sahyadri Hospital,Doxycycline,1392,284,66,34,62,27,1487,14,220
2024,April,Kerala,Nagpur,Ahmedabad,PPP,Health Center,Sahyadri Hospital,Doxycycline,893,343,203,42,93,88,810,31,478
2024,May,Gujarat,Pune,Kochi,PPP,Hospital,Sahyadri Hospital,Doxycycline,1868,229,157,17,98,42,1783,23,271
2024,June,Karnataka,Nagpur,Mumbai,State,Lab,Sahyadri Hospital,Doxycycline,589,104,267,63,29,18,316,48,402
2024,July,Maharashtra,Mumbai,Mysore,PPP,Lab,Sahyadri Hospital,Doxycycline,780,123,495,58,44,99,0,20,247
2024,August,Tamil Nadu,Ahmedabad,Ahmedabad,Central,Health Center,Sahyadri Hospital,Doxycycline,1406,383,324,98,27,27,1313,12,491
2024,September,Karnataka,Chennai,Pune,Central,Hospital,Sahyadri Hospital,Doxycycline,1461,272,362,88,44,82,1157,15,368
2024,October,Gujarat,Pune,Mysore,PPP,Lab,Sahyadri Hospital,Doxycycline,1101,463,88,98,74,71,1233,14,187
2024,November,Tamil Nadu,Ahmedabad,Pune,PPP,Clinic,Sahyadri Hospital,Doxycycline,769,137,115,73,90,27,0,7,371
2024,December,Gujarat,Bangalore,Mumbai,State,Hospital,Sahyadri Hospital,Doxycycline,591,447,282,22,92,76,566,40,216
2024,January,Maharashtra,Ahmedabad,Pune,Central,Clinic,Sahyadri Hospital,Levofloxacin,1448,324,142,30,11,96,1493,17,242
2024,February,Kerala,Chennai,Mumbai,State,Hospital,Sahyadri Hospital,Levofloxacin,1284,120,336,59,71,90,848,21,161
2024,March,Kerala,Ahmedabad,Mysore,Central,Hospital,Sahyadri Hospital,Levofloxacin,1022,489,277,48,71,40,1075,43,331
2024,April,Tamil Nadu,Bangalore,Chennai,State,Lab,Sahyadri Hospital,Levofloxacin,1822,74,417,98,46,50,1285,21,395
2024,May,Kerala,Pune,Ahmedabad,PPP,Hospital,Sahyadri Hospital,Levofloxacin,564,377,84,87,34,96,640,31,237
2024,June,Gujarat,Pune,Kochi,Central,Clinic,Sahyadri Hospital,Levofloxacin,1167,364,144,83,63,54,1187,31,248
2024,July,Maharashtra,Bangalore,Mysore,PPP,Lab,Sahyadri Hospital,Levofloxacin,713,160,232,91,47,87,416,10,286
2024,August,Kerala,Mumbai,Nagpur,Central,Hospital,Sahyadri Hospital,Levofloxacin,494,94,167,44,57,41,279,24,491
2024,September,Tamil Nadu,Mumbai,Mumbai,PPP,Clinic,Sahyadri Hospital,Levofloxacin,1376,236,495,36,34,12,0,38,318
2024,October,Maharashtra,Ahmedabad,Chennai,PPP,Lab,Sahyadri Hospital,Levofloxacin,601,80,424,76,62,37,0,17,332
2024,November,Karnataka,Nagpur,Mysore,Central,Lab,Sahyadri Hospital,Levofloxacin,918,492,280,23,32,21,1054,29,267
2024,December,Karnataka,Chennai,Nagpur,State,Health Center,Sahyadri Hospital,Levofloxacin,182,393,359,74,75,37,30,9,490
2024,January,Karnataka,Ahmedabad,Mumbai,State,Hospital,Sahyadri Hospital,Metronidazole,1126,178,448,55,19,57,725,42,385
2024,February,Gujarat,Bangalore,Pune,State,Lab,Sahyadri Hospital,Metronidazole,613,337,194,55,32,80,589,20,404
2024,March,Tamil Nadu,Chennai,Nagpur,State,Health Center,Sahyadri Hospital,Metronidazole,661,56,162,83,48,73,351,14,313
2024,April,Tamil Nadu,Mysore,Nagpur,State,Health Center,Sahyadri Hospital,Metronidazole,1275,255,381,85,18,52,994,5,220
2024,May,Karnataka,Nagpur,Pune,State,Health Center,Sahyadri Hospital,Metronidazole,1199,329,164,80,20,46,1218,39,390
2024,June,Karnataka,Bangalore,Kochi,Central,Health Center,Sahyadri Hospital,Metronidazole,1829,319,417,58,42,42,1589,46,338
2024,July,Maharashtra,Mumbai,Kochi,PPP,Clinic,Sahyadri Hospital,Metronidazole,1627,437,119,34,42,32,1837,46,217
2024,August,Gujarat,Kochi,Kochi,State,Lab,Sahyadri Hospital,Metronidazole,455,439,71,70,19,65,669,33,374
2024,September,Gujarat,Mumbai,Chennai,PPP,Lab,Sahyadri Hospital,Metronidazole,374,147,71,47,80,38,285,38,308
2024,October,Tamil Nadu,Kochi,Bangalore,PPP,Hospital,Sahyadri Hospital,Metronidazole,534,98,305,94,59,35,0,28,403
2024,November,Maharashtra,Pune,Pune,PPP,Lab,Sahyadri Hospital,Metronidazole,1250,499,52,86,86,87,1438,7,378
2024,December,Tamil Nadu,Mumbai,Chennai,Central,Health Center,Sahyadri Hospital,Metronidazole,1636,278,362,56,88,16,1392,41,478
2024,January,Gujarat,Ahmedabad,Chennai,State,Clinic,Sahyadri Hospital,Ofloxacin,959,299,138,76,90,84,870,40,424
2024,February,Karnataka,Bangalore,Pune,State,Lab,Sahyadri Hospital,Ofloxacin,1867,90,293,78,17,47,1522,5,433
2024,March,Maharashtra,Mysore,Bangalore,State,Lab,Sahyadri Hospital,Ofloxacin,917,214,57,17,61,20,976,15,419
2024,April,Tamil Nadu,Bangalore,Kochi,PPP,Hospital,Sahyadri Hospital,Ofloxacin,1805,200,114,70,98,65,1658,44,267
2024,May,Karnataka,Kochi,Mumbai,State,Clinic,Sahyadri Hospital,Ofloxacin,406,96,173,44,39,98,148,49,406
2024,June,Maharashtra,Ahmedabad,Mysore,Central,Lab,Sahyadri Hospital,Ofloxacin,1911,265,171,98,92,81,1734,9,309
2024,July,Gujarat,Chennai,Mysore,PPP,Hospital,Sahyadri Hospital,Ofloxacin,853,318,449,98,73,40,511,36,477
2024,August,Karnataka,Ahmedabad,Mysore,State,Health Center,Sahyadri Hospital,Ofloxacin,530,388,425,58,99,25,311,20,470
2024,September,Maharashtra,Kochi,Kochi,PPP,Clinic,Sahyadri Hospital,Ofloxacin,421,207,379,47,14,30,158,11,437
2024,October,Gujarat,Mysore,Chennai,State,Hospital,Sahyadri Hospital,Ofloxacin,762,279,430,97,18,77,419,31,361
2024,November,Kerala,Chennai,Mysore,State,Lab,Sahyadri Hospital,Ofloxacin,243,377,410,94,87,24,5,27,228
2024,December,Gujarat,Mumbai,Pune,State,Health Center,Sahyadri Hospital,Ofloxacin,1827,461,486,94,65,85,1558,25,379
2024,January,Maharashtra,Chennai,Kochi,State,Health Center,Sahyadri Hospital,Bactrim,812,460,373,39,50,73,737,37,347
2024,February,Karnataka,Mumbai,Mumbai,PPP,Health Center,Sahyadri Hospital,Bactrim,1188,272,376,21,37,33,993,29,359
2024,March,Maharashtra,Nagpur,Bangalore,Central,Hospital,Sahyadri Hospital,Bactrim,1174,207,238,23,89,59,972,6,484
2024,April,Tamil Nadu,Pune,Bangalore,State,Clinic,Sahyadri Hospital,Bactrim,472,393,398,85,61,53,268,11,382
2024,May,Gujarat,Kochi,Mumbai,State,Hospital,Sahyadri Hospital,Bactrim,1658,218,474,46,81,97,0,36,410
2024,June,Tamil Nadu,Ahmedabad,Chennai,Central,Lab,Sahyadri Hospital,Bactrim,1366,134,133,58,84,72,1153,9,299
2024,July,Kerala,Kochi,Pune,PPP,Clinic,Sahyadri Hospital,Bactrim,1787,235,408,24,22,17,1551,29,406
2024,August,Gujarat,Bangalore,Ahmedabad,Central,Clinic,Sahyadri Hospital,Bactrim,990,102,122,69,61,19,821,11,421
2024,September,Tamil Nadu,Kochi,Mumbai,Central,Clinic,Sahyadri Hospital,Bactrim,1472,140,97,75,17,10,1413,16,281
2024,October,Maharashtra,Ahmedabad,Mysore,Central,Lab,Sahyadri Hospital,Bactrim,1218,317,288,62,11,19,1155,14,315
2024,November,Gujarat,Kochi,Nagpur,PPP,Clinic,Sahyadri Hospital,Bactrim,741,470,152,97,82,60,820,12,494
2024,December,Tamil Nadu,Pune,Pune,PPP,Lab,Sahyadri Hospital,Bactrim,1308,444,92,67,54,33,1506,45,383
2024,January,Karnataka,Bangalore,Ahmedabad,State,Hospital,Sahyadri Hospital,Flagyl,918,131,474,46,72,79,0,8,169
2024,February,Maharashtra,Pune,Pune,State,Clinic,Sahyadri Hospital,Flagyl,1723,83,452,22,56,44,1232,34,249
2024,March,Maharashtra,Bangalore,Chennai,State,Health Center,Sahyadri Hospital,Flagyl,1988,138,302,60,24,84,1656,29,454
2024,April,Tamil Nadu,Nagpur,Pune,State,Clinic,Sahyadri Hospital,Flagyl,945,112,291,98,17,44,607,22,327
2024,May,Kerala,Bangalore,Ahmedabad,Central,Health Center,Sahyadri Hospital,Flagyl,851,471,132,65,19,11,1095,12,215
2024,June,Karnataka,Bangalore,Kochi,PPP,Health Center,Sahyadri Hospital,Flagyl,729,240,319,64,72,20,494,6,493
2024,July,Tamil Nadu,Ahmedabad,Kochi,Central,Clinic,Sahyadri Hospital,Flagyl,1999,193,73,95,61,33,1930,28,254
2024,August,Tamil Nadu,Mysore,Kochi,PPP,Lab,Sahyadri Hospital,Flagyl,428,421,228,69,44,62,446,36,400
2024,September,Maharashtra,Pune,Bangalore,State,Lab,Sahyadri Hospital,Flagyl,118,318,172,85,15,44,120,44,163
2024,October,Maharashtra,Nagpur,Chennai,Central,Lab,Sahyadri Hospital,Flagyl,351,76,167,28,65,17,150,44,160
2024,November,Kerala,Kochi,Nagpur,State,Lab,Sahyadri Hospital,Flagyl,623,284,444,27,65,72,0,13,239
2024,December,Gujarat,Nagpur,Bangalore,PPP,Lab,Sahyadri Hospital,Flagyl,1713,67,179,43,12,76,1470,33,351
2024,January,Kerala,Nagpur,Bangalore,Central,Hospital,Sahyadri Hospital,Keflex,1948,143,480,42,72,41,1456,15,174
2024,February,Karnataka,Nagpur,Ahmedabad,State,Hospital,Sahyadri Hospital,Keflex,1141,437,146,89,71,51,1221,42,479
2024,March,Karnataka,Pune,Pune,PPP,Lab,Sahyadri Hospital,Keflex,530,272,483,30,40,97,152,33,199
2024,April,Kerala,Ahmedabad,Mumbai,Central,Health Center,Sahyadri Hospital,Keflex,682,165,253,38,15,11,530,49,308
2024,May,Tamil Nadu,Ahmedabad,Pune,State,Clinic,Sahyadri Hospital,Keflex,1695,353,331,35,42,57,1583,24,233
2024,June,Tamil Nadu,Ahmedabad,Kochi,State,Hospital,Sahyadri Hospital,Keflex,1298,424,160,32,60,95,1375,42,352
2024,July,Karnataka,Pune,Chennai,State,Clinic,Sahyadri Hospital,Keflex,826,408,157,40,15,66,956,18,361
2024,August,Gujarat,Nagpur,Nagpur,PPP,Clinic,Sahyadri Hospital,Keflex,1794,377,72,74,37,18,1970,21,392
2024,September,Maharashtra,Ahmedabad,Nagpur,Central,Lab,Sahyadri Hospital,Keflex,1957,261,77,23,49,84,1985,10,435
2024,October,Kerala,Ahmedabad,Kochi,State,Lab,Sahyadri Hospital,Keflex,569,369,278,16,80,20,544,37,258
2024,November,Tamil Nadu,Mysore,Ahmedabad,PPP,Lab,Sahyadri Hospital,Keflex,884,207,407,84,76,95,429,32,269
2024,December,Kerala,Mysore,Chennai,Central,Hospital,Sahyadri Hospital,Keflex,1276,151,296,54,66,36,975,20,462
2024,January,Gujarat,Kochi,Pune,Central,Clinic,Sahyadri Hospital,Cefzil,1775,421,73,14,57,11,2041,36,383
2024,February,Tamil Nadu,Nagpur,Nagpur,PPP,Clinic,Sahyadri Hospital,Cefzil,951,365,464,82,48,58,664,39,414
2024,March,Tamil Nadu,Bangalore,Mysore,State,Health Center,Sahyadri Hospital,Cefzil,707,371,180,20,72,28,778,46,395
2024,April,Maharashtra,Chennai,Mysore,PPP,Health Center,Sahyadri Hospital,Cefzil,1053,346,138,28,17,10,1206,39,340
2024,May,Tamil Nadu,Chennai,Chennai,State,Hospital,Sahyadri Hospital,Cefzil,1411,242,381,53,93,17,1109,16,420
2024,June,Gujarat,Mysore,Pune,PPP,Health Center,Sahyadri Hospital,Cefzil,1110,306,371,21,12,88,924,22,208
2024,July,Tamil Nadu,Chennai,Mysore,Central,Clinic,Sahyadri Hospital,Cefzil,667,315,106,72,24,78,702,47,228
2024,August,Karnataka,Kochi,Nagpur,State,Lab,Sahyadri Hospital,Cefzil,1214,239,436,19,29,40,929,34,221
2024,September,Gujarat,Nagpur,Nagpur,State,Health Center,Sahyadri Hospital,Cefzil,1681,347,344,76,35,87,1486,19,366
2024,October,Gujarat,Kochi,Kochi,State,Health Center,Sahyadri Hospital,Cefzil,1591,409,487,22,23,16,1452,26,219
2024,November,Tamil Nadu,Mysore,Mumbai,Central,Lab,Sahyadri Hospital,Cefzil,1216,87,272,99,14,65,853,22,484
2024,December,Kerala,Bangalore,Nagpur,State,Clinic,Sahyadri Hospital,Cefzil,1034,106,363,71,50,67,589,23,467
2024,January,Gujarat,Ahmedabad,Kochi,Central,Hospital,Sahyadri Hospital,Augmentin,229,149,50,94,65,55,114,16,150
2024,February,Maharashtra,Mysore,Kochi,State,Lab,Sahyadri Hospital,Augmentin,1190,103,294,17,53,94,835,34,228
2024,March,Kerala,Bangalore,Pune,Central,Health Center,Sahyadri Hospital,Augmentin,1470,151,79,53,67,68,1354,38,459
2024,April,Kerala,Mumbai,Pune,PPP,Lab,Sahyadri Hospital,Augmentin,1660,405,389,23,93,68,1492,38,166
2024,May,Tamil Nadu,Pune,Mumbai,PPP,Lab,Sahyadri Hospital,Augmentin,1901,151,52,55,72,45,1828,43,165
2024,June,Karnataka,Nagpur,Mysore,PPP,Health Center,Sahyadri Hospital,Augmentin,1037,70,460,65,66,21,495,15,492
2024,July,Karnataka,Nagpur,Kochi,PPP,Lab,Sahyadri Hospital,Augmentin,1076,410,384,72,34,20,976,7,280
2024,August,Kerala,Ahmedabad,Nagpur,Central,Health Center,Sahyadri Hospital,Augmentin,1605,428,93,55,38,33,1814,5,374
2024,September,Maharashtra,Mysore,Ahmedabad,State,Hospital,Sahyadri Hospital,Augmentin,1909,387,129,39,71,32,2025,32,385
2024,October,Tamil Nadu,Nagpur,Chennai,Central,Hospital,Sahyadri Hospital,Augmentin,1630,433,315,83,64,90,1511,45,174
2024,November,Kerala,Nagpur,Chennai,State,Clinic,Sahyadri Hospital,Augmentin,1191,312,485,51,96,27,844,21,455
2024,December,Karnataka,Mysore,Mysore,State,Hospital,Sahyadri Hospital,Augmentin,1758,163,425,50,33,44,1369,5,333
2024,January,Maharashtra,Mysore,Kochi,PPP,Hospital,Sahyadri Hospital,Biaxin,1040,205,132,82,19,24,988,14,463
2024,February,Tamil Nadu,Mumbai,Pune,Central,Lab,Sahyadri Hospital,Biaxin,730,286,179,58,52,46,681,8,384
2024,March,Kerala,Kochi,Mumbai,Central,Clinic,Sahyadri Hospital,Biaxin,320,473,435,87,40,47,184,23,459
2024,April,Tamil Nadu,Mumbai,Chennai,Central,Clinic,Sahyadri Hospital,Biaxin,1804,268,72,56,10,91,1843,48,245
2024,May,Maharashtra,Ahmedabad,Ahmedabad,Central,Hospital,Sahyadri Hospital,Biaxin,573,129,396,72,63,14,157,22,173
2024,June,Kerala,Chennai,Mysore,PPP,Health Center,Sahyadri Hospital,Biaxin,1872,399,310,14,25,60,1862,44,287
2024,July,Kerala,Ahmedabad,Mysore,PPP,Hospital,Sahyadri Hospital,Biaxin,320,477,300,35,47,27,388,28,308
2024,August,Maharashtra,Chennai,Kochi,Central,Clinic,Sahyadri Hospital,Biaxin,607,309,232,43,20,66,555,9,455
2024,September,Tamil Nadu,Nagpur,Nagpur,State,Hospital,Sahyadri Hospital,Biaxin,1798,298,417,52,21,64,1542,29,180
2024,October,Kerala,Bangalore,Nagpur,PPP,Health Center,Sahyadri Hospital,Biaxin,484,110,121,69,65,79,260,15,490
2024,November,Kerala,Chennai,Kochi,Central,Health Center,Sahyadri Hospital,Biaxin,1295,330,477,79,17,93,959,10,298
2024,December,Karnataka,Bangalore,Bangalore,Central,Clinic,Sahyadri Hospital,Biaxin,1975,230,465,27,64,23,1626,8,374
2024,January,Tamil Nadu,Pune,Mysore,PPP,Health Center,Sahyadri Hospital,Zithromax,1552,489,149,44,26,31,1791,35,330
2024,February,Tamil Nadu,Ahmedabad,Bangalore,State,Hospital,Sahyadri Hospital,Zithromax,291,227,212,13,53,35,205,18,195
2024,March,Tamil Nadu,Chennai,Mumbai,Central,Health Center,Sahyadri Hospital,Zithromax,462,253,376,74,13,29,223,25,411
2024,April,Karnataka,Bangalore,Ahmedabad,PPP,Clinic,Sahyadri Hospital,Zithromax,450,275,53,94,12,92,474,32,380
2024,May,Maharashtra,Bangalore,Mumbai,Central,Health Center,Sahyadri Hospital,Zithromax,983,79,399,76,16,97,474,42,179
2024,June,Karnataka,Nagpur,Bangalore,Central,Hospital,Sahyadri Hospital,Zithromax,1328,146,308,54,97,85,930,48,348
2024,July,Tamil Nadu,Mumbai,Mumbai,PPP,Health Center,Sahyadri Hospital,Zithromax,304,475,329,78,86,29,257,43,436
2024,August,Tamil Nadu,Pune,Mysore,PPP,Clinic,Sahyadri Hospital,Zithromax,908,432,270,55,41,46,928,14,285
2024,September,Maharashtra,Bangalore,Ahmedabad,State,Clinic,Sahyadri Hospital,Zithromax,1145,102,63,27,49,30,1078,35,364
2024,October,Kerala,Nagpur,Chennai,State,Health Center,Sahyadri Hospital,Zithromax,1592,321,307,57,92,78,1379,15,364
2024,November,Kerala,Mumbai,Mumbai,Central,Hospital,Sahyadri Hospital,Zithromax,1127,85,317,42,76,16,761,12,153
2024,December,Karnataka,Nagpur,Pune,PPP,Clinic,Sahyadri Hospital,Zithromax,1312,222,228,19,30,72,1185,27,396
2024,January,Kerala,Ahmedabad,Chennai,Central,Health Center,Sahyadri Hospital,Valtrex,145,225,143,29,11,13,174,45,194
2024,February,Maharashtra,Bangalore,Bangalore,State,Lab,Sahyadri Hospital,Valtrex,137,352,70,63,48,77,231,16,199
2024,March,Karnataka,Kochi,Nagpur,PPP,Lab,Sahyadri Hospital,Valtrex,892,242,333,81,66,68,586,17,289
2024,April,Maharashtra,Bangalore,Pune,PPP,Health Center,Sahyadri Hospital,Valtrex,928,54,322,76,43,60,481,18,285
2024,May,Karnataka,Pune,Ahmedabad,Central,Clinic,Sahyadri Hospital,Valtrex,1038,153,352,43,31,48,717,25,425
2024,June,Gujarat,Kochi,Pune,PPP,Health Center,Sahyadri Hospital,Valtrex,910,128,329,43,93,96,477,42,379
2024,July,Karnataka,Pune,Chennai,Central,Clinic,Sahyadri Hospital,Valtrex,1617,173,300,91,21,73,1305,39,272
2024,August,Kerala,Nagpur,Ahmedabad,State,Health Center,Sahyadri Hospital,Valtrex,324,345,140,75,19,30,405,40,324
2024,September,Maharashtra,Mumbai,Bangalore,PPP,Health Center,Sahyadri Hospital,Valtrex,1378,245,339,88,30,88,1078,36,285
2024,October,Kerala,Mumbai,Mysore,Central,Lab,Sahyadri Hospital,Valtrex,1026,192,332,60,88,32,706,9,391
2024,November,Gujarat,Nagpur,Kochi,PPP,Lab,Sahyadri Hospital,Valtrex,1611,333,433,74,43,69,0,36,235
2024,December,Maharashtra,Mysore,Chennai,Central,Health Center,Sahyadri Hospital,Valtrex,524,403,113,32,13,57,712,38,342
2024,January,Kerala,Pune,Nagpur,Central,Clinic,Sahyadri Hospital,Zovirax,1103,225,219,62,75,97,875,34,265
2024,February,Kerala,Kochi,Ahmedabad,State,Lab,Sahyadri Hospital,Zovirax,1975,442,218,94,84,83,1938,28,336
2024,March,Kerala,Mumbai,Mysore,State,Hospital,Sahyadri Hospital,Zovirax,965,224,462,37,43,37,610,41,231
2024,April,Karnataka,Nagpur,Chennai,Central,Clinic,Sahyadri Hospital,Zovirax,197,313,355,19,64,61,11,8,224
2024,May,Gujarat,Pune,Pune,PPP,Health Center,Sahyadri Hospital,Zovirax,1780,156,372,10,95,21,1438,44,274
2024,June,Tamil Nadu,Nagpur,Mumbai,State,Health Center,Sahyadri Hospital,Zovirax,1481,76,435,65,61,77,919,24,381
2024,July,Tamil Nadu,Chennai,Kochi,State,Health Center,Sahyadri Hospital,Zovirax,522,251,86,48,94,76,469,44,188
2024,August,Kerala,Chennai,Kochi,Central,Lab,Sahyadri Hospital,Zovirax,597,385,105,94,95,42,646,11,365
2024,September,Tamil Nadu,Chennai,Kochi,Central,Lab,Sahyadri Hospital,Zovirax,1790,359,498,47,11,44,1549,18,435
2024,October,Gujarat,Chennai,Mumbai,State,Lab,Sahyadri Hospital,Zovirax,359,298,364,82,63,45,103,20,368
2024,November,Tamil Nadu,Ahmedabad,Chennai,State,Lab,Sahyadri Hospital,Zovirax,623,226,141,53,92,88,475,6,357
2024,December,Gujarat,Chennai,Nagpur,Central,Clinic,Sahyadri Hospital,Zovirax,1003,58,351,33,40,86,0,24,352
2024,January,Gujarat,Kochi,Mumbai,Central,Hospital,Sahyadri Hospital,Tamiflu,136,243,150,51,48,52,78,30,256
2024,February,Maharashtra,Chennai,Mysore,Central,Hospital,Sahyadri Hospital,Tamiflu,991,195,421,75,34,75,581,28,260
2024,March,Kerala,Bangalore,Nagpur,PPP,Health Center,Sahyadri Hospital,Tamiflu,1223,195,483,11,96,49,779,19,324
2024,April,Maharashtra,Ahmedabad,Nagpur,State,Clinic,Sahyadri Hospital,Tamiflu,1484,88,177,83,35,92,1185,29,236
2024,May,Tamil Nadu,Nagpur,Chennai,Central,Clinic,Sahyadri Hospital,Tamiflu,1480,274,284,24,49,86,1311,32,244
2024,June,Gujarat,Pune,Ahmedabad,PPP,Clinic,Sahyadri Hospital,Tamiflu,953,344,274,96,76,58,793,31,164
2024,July,Kerala,Mumbai,Chennai,Central,Clinic,Sahyadri Hospital,Tamiflu,696,388,395,91,80,78,440,34,476
2024,August,Karnataka,Ahmedabad,Mumbai,State,Lab,Sahyadri Hospital,Tamiflu,689,115,130,78,40,19,537,48,271
2024,September,Gujarat,Mumbai,Pune,Central,Clinic,Sahyadri Hospital,Tamiflu,1899,145,157,81,88,24,1694,38,364
2024,October,Gujarat,Pune,Bangalore,PPP,Clinic,Sahyadri Hospital,Tamiflu,585,178,256,55,55,86,311,31,271
2024,November,Maharashtra,Bangalore,Ahmedabad,PPP,Health Center,Sahyadri Hospital,Tamiflu,111,430,336,20,31,59,95,45,178
2024,December,Gujarat,Kochi,Bangalore,State,Lab,Sahyadri Hospital,Tamiflu,1239,249,405,43,81,98,861,18,379
2024,January,Maharashtra,Ahmedabad,Bangalore,PPP,Hospital,Sahyadri Hospital,Symmetrel,1957,188,222,89,72,84,1678,33,456
